x,rho,T
  0.00000000E+00,  0.30000000E+00,  0.40000000E+01
  0.50000000E-02,  0.30250000E+00,  0.39599916E+01
  0.10000000E-01,  0.30500000E+00,  0.39213068E+01
  0.15000000E-01,  0.30750000E+00,  0.38825767E+01
  0.20000000E-01,  0.31000000E+00,  0.38451520E+01
  0.25000000E-01,  0.31250000E+00,  0.38076386E+01
  0.30000000E-01,  0.31500000E+00,  0.37714147E+01
  0.35000000E-01,  0.31750000E+00,  0.37350605E+01
  0.40000000E-01,  0.32000000E+00,  0.36999816E+01
  0.45000000E-01,  0.32250000E+00,  0.36647324E+01
  0.50000000E-01,  0.32500000E+00,  0.36307463E+01
  0.55000000E-01,  0.32750000E+00,  0.35965515E+01
  0.60000000E-01,  0.33000000E+00,  0.35636090E+01
  0.65000000E-01,  0.33250000E+00,  0.35304208E+01
  0.70000000E-01,  0.33500000E+00,  0.34984757E+01
  0.75000000E-01,  0.33750000E+00,  0.34662493E+01
  0.80000000E-01,  0.34000000E+00,  0.34352581E+01
  0.85000000E-01,  0.34250000E+00,  0.34039511E+01
  0.90000000E-01,  0.34500000E+00,  0.33738728E+01
  0.95000000E-01,  0.34750000E+00,  0.33434454E+01
  0.10000000E+00,  0.35000000E+00,  0.33142414E+01
  0.10500000E+00,  0.35250000E+00,  0.32846559E+01
  0.11000000E+00,  0.35500000E+00,  0.32562897E+01
  0.11500000E+00,  0.35750000E+00,  0.32275106E+01
  0.12000000E+00,  0.36000000E+00,  0.31999477E+01
  0.12500000E+00,  0.36250000E+00,  0.31719414E+01
  0.13000000E+00,  0.36500000E+00,  0.31451494E+01
  0.13500000E+00,  0.36750000E+00,  0.31178842E+01
  0.14000000E+00,  0.37000000E+00,  0.30918321E+01
  0.14500000E+00,  0.37250000E+00,  0.30652779E+01
  0.15000000E+00,  0.37500000E+00,  0.30399367E+01
  0.15500000E+00,  0.37750000E+00,  0.30140649E+01
  0.16000000E+00,  0.38000000E+00,  0.29894069E+01
  0.16500000E+00,  0.38250000E+00,  0.29641907E+01
  0.17000000E+00,  0.38500000E+00,  0.29401896E+01
  0.17500000E+00,  0.38750000E+00,  0.29156033E+01
  0.18000000E+00,  0.39000000E+00,  0.28922343E+01
  0.18500000E+00,  0.39250000E+00,  0.28682536E+01
  0.19000000E+00,  0.39500000E+00,  0.28454931E+01
  0.19500000E+00,  0.39750000E+00,  0.28220949E+01
  0.20000000E+00,  0.40000000E+00,  0.27999205E+01
  0.20500000E+00,  0.40250000E+00,  0.27770828E+01
  0.21000000E+00,  0.40500000E+00,  0.27554731E+01
  0.21500000E+00,  0.40750000E+00,  0.27331751E+01
  0.22000000E+00,  0.41000000E+00,  0.27121099E+01
  0.22500000E+00,  0.41250000E+00,  0.26903317E+01
  0.23000000E+00,  0.41500000E+00,  0.26697917E+01
  0.23500000E+00,  0.41750000E+00,  0.26485143E+01
  0.24000000E+00,  0.42000000E+00,  0.26284811E+01
  0.24500000E+00,  0.42250000E+00,  0.26076865E+01
  0.25000000E+00,  0.42500000E+00,  0.25881425E+01
  0.25500000E+00,  0.42750000E+00,  0.25678136E+01
  0.26000000E+00,  0.43000000E+00,  0.25487421E+01
  0.26500000E+00,  0.43250000E+00,  0.25288624E+01
  0.27000000E+00,  0.43500000E+00,  0.25102476E+01
  0.27500000E+00,  0.43750000E+00,  0.24908013E+01
  0.28000000E+00,  0.44000000E+00,  0.24726279E+01
  0.28500000E+00,  0.44250000E+00,  0.24536003E+01
  0.29000000E+00,  0.44500000E+00,  0.24358538E+01
  0.29500000E+00,  0.44750000E+00,  0.24172304E+01
  0.30000000E+00,  0.45000000E+00,  0.23998969E+01
  0.30500000E+00,  0.45250000E+00,  0.23816641E+01
  0.31000000E+00,  0.45500000E+00,  0.23647303E+01
  0.31500000E+00,  0.45750000E+00,  0.23468750E+01
  0.32000000E+00,  0.46000000E+00,  0.23303283E+01
  0.32500000E+00,  0.46250000E+00,  0.23128380E+01
  0.33000000E+00,  0.46500000E+00,  0.22966662E+01
  0.33500000E+00,  0.46750000E+00,  0.22795289E+01
  0.34000000E+00,  0.47000000E+00,  0.22637204E+01
  0.34500000E+00,  0.47250000E+00,  0.22469247E+01
  0.35000000E+00,  0.47500000E+00,  0.22314682E+01
  0.35500000E+00,  0.47750000E+00,  0.22150031E+01
  0.36000000E+00,  0.48000000E+00,  0.21998881E+01
  0.36500000E+00,  0.48250000E+00,  0.21837429E+01
  0.37000000E+00,  0.48500000E+00,  0.21689592E+01
  0.37500000E+00,  0.48750000E+00,  0.21531238E+01
  0.38000000E+00,  0.49000000E+00,  0.21386616E+01
  0.38500000E+00,  0.49250000E+00,  0.21231264E+01
  0.39000000E+00,  0.49500000E+00,  0.21089761E+01
  0.39500000E+00,  0.49750000E+00,  0.20937317E+01
  0.40000000E+00,  0.50000000E+00,  0.20798844E+01
  0.40500000E+00,  0.50250000E+00,  0.20649219E+01
  0.41000000E+00,  0.50500000E+00,  0.20513689E+01
  0.41500000E+00,  0.50750000E+00,  0.20366796E+01
  0.42000000E+00,  0.51000000E+00,  0.20234126E+01
  0.42500000E+00,  0.51250000E+00,  0.20089882E+01
  0.43000000E+00,  0.51500000E+00,  0.19959992E+01
  0.43500000E+00,  0.51750000E+00,  0.19818319E+01
  0.44000000E+00,  0.52000000E+00,  0.19691132E+01
  0.44500000E+00,  0.52250000E+00,  0.19551951E+01
  0.45000000E+00,  0.52500000E+00,  0.19427393E+01
  0.45500000E+00,  0.52750000E+00,  0.19290631E+01
  0.46000000E+00,  0.53000000E+00,  0.19168631E+01
  0.46500000E+00,  0.53250000E+00,  0.19034218E+01
  0.47000000E+00,  0.53500000E+00,  0.18914707E+01
  0.47500000E+00,  0.53750000E+00,  0.18782574E+01
  0.48000000E+00,  0.54000000E+00,  0.18665486E+01
  0.48500000E+00,  0.54250000E+00,  0.18535567E+01
  0.49000000E+00,  0.54500000E+00,  0.18420839E+01
  0.49500000E+00,  0.54750000E+00,  0.18293071E+01
  0.50000000E+00,  0.55000000E+00,  0.18180641E+01
  0.50500000E+00,  0.55250000E+00,  0.18054962E+01
  0.51000000E+00,  0.55500000E+00,  0.17944771E+01
