x,rho,T
  0.00000000E+00,  0.50000000E+00,  0.60000000E+01
  0.50000000E-02,  0.50088603E+00,  0.59760874E+01
  0.10000000E-01,  0.50177719E+00,  0.59521936E+01
  0.15000000E-01,  0.50266839E+00,  0.59282997E+01
  0.20000000E-01,  0.50356477E+00,  0.59044242E+01
  0.25000000E-01,  0.50446120E+00,  0.58805485E+01
  0.30000000E-01,  0.50536287E+00,  0.58566907E+01
  0.35000000E-01,  0.50626462E+00,  0.58328327E+01
  0.40000000E-01,  0.50717164E+00,  0.58089920E+01
  0.45000000E-01,  0.50807878E+00,  0.57851511E+01
  0.50000000E-01,  0.50899124E+00,  0.57613269E+01
  0.55000000E-01,  0.50990384E+00,  0.57375025E+01
  0.60000000E-01,  0.51082181E+00,  0.57136943E+01
  0.65000000E-01,  0.51173997E+00,  0.56898858E+01
  0.70000000E-01,  0.51266353E+00,  0.56660930E+01
  0.75000000E-01,  0.51358732E+00,  0.56422997E+01
  0.80000000E-01,  0.51451656E+00,  0.56185217E+01
  0.85000000E-01,  0.51544605E+00,  0.55947431E+01
  0.90000000E-01,  0.51638105E+00,  0.55709792E+01
  0.95000000E-01,  0.51731634E+00,  0.55472146E+01
  0.10000000E+00,  0.51825719E+00,  0.55234642E+01
  0.10500000E+00,  0.51919837E+00,  0.54997131E+01
  0.11000000E+00,  0.52014515E+00,  0.54759755E+01
  0.11500000E+00,  0.52109230E+00,  0.54522371E+01
  0.12000000E+00,  0.52204511E+00,  0.54285118E+01
  0.12500000E+00,  0.52299833E+00,  0.54047855E+01
  0.13000000E+00,  0.52395726E+00,  0.53810718E+01
  0.13500000E+00,  0.52491663E+00,  0.53573569E+01
  0.14000000E+00,  0.52588178E+00,  0.53336541E+01
  0.14500000E+00,  0.52684741E+00,  0.53099500E+01
  0.15000000E+00,  0.52781888E+00,  0.52862573E+01
  0.15500000E+00,  0.52879086E+00,  0.52625633E+01
  0.16000000E+00,  0.52976874E+00,  0.52388801E+01
  0.16500000E+00,  0.53074719E+00,  0.52151954E+01
  0.17000000E+00,  0.53173158E+00,  0.51915210E+01
  0.17500000E+00,  0.53271660E+00,  0.51678449E+01
  0.18000000E+00,  0.53370762E+00,  0.51441786E+01
  0.18500000E+00,  0.53469930E+00,  0.51205104E+01
  0.19000000E+00,  0.53569706E+00,  0.50968514E+01
  0.19500000E+00,  0.53669552E+00,  0.50731904E+01
  0.20000000E+00,  0.53770013E+00,  0.50495379E+01
  0.20500000E+00,  0.53870549E+00,  0.50258833E+01
  0.21000000E+00,  0.53971706E+00,  0.50022365E+01
  0.21500000E+00,  0.54072944E+00,  0.49785875E+01
  0.22000000E+00,  0.54174809E+00,  0.49549458E+01
  0.22500000E+00,  0.54276760E+00,  0.49313016E+01
  0.23000000E+00,  0.54379346E+00,  0.49076641E+01
  0.23500000E+00,  0.54482023E+00,  0.48840239E+01
  0.24000000E+00,  0.54585342E+00,  0.48603897E+01
  0.24500000E+00,  0.54688758E+00,  0.48367527E+01
  0.25000000E+00,  0.54792823E+00,  0.48131210E+01
  0.25500000E+00,  0.54896991E+00,  0.47894863E+01
  0.26000000E+00,  0.55001815E+00,  0.47658563E+01
  0.26500000E+00,  0.55106749E+00,  0.47422230E+01
  0.27000000E+00,  0.55212347E+00,  0.47185938E+01
  0.27500000E+00,  0.55318060E+00,  0.46949610E+01
  0.28000000E+00,  0.55424445E+00,  0.46713317E+01
  0.28500000E+00,  0.55530952E+00,  0.46476985E+01
  0.29000000E+00,  0.55638140E+00,  0.46240682E+01
  0.29500000E+00,  0.55745456E+00,  0.46004338E+01
  0.30000000E+00,  0.55853460E+00,  0.45768014E+01
  0.30500000E+00,  0.55961600E+00,  0.45531647E+01
  0.31000000E+00,  0.56070438E+00,  0.45295294E+01
  0.31500000E+00,  0.56179418E+00,  0.45058895E+01
  0.32000000E+00,  0.56289105E+00,  0.44822502E+01
  0.32500000E+00,  0.56398942E+00,  0.44586060E+01
  0.33000000E+00,  0.56509494E+00,  0.44349618E+01
  0.33500000E+00,  0.56620204E+00,  0.44113123E+01
  0.34000000E+00,  0.56731639E+00,  0.43876621E+01
  0.34500000E+00,  0.56843240E+00,  0.43640063E+01
  0.35000000E+00,  0.56955576E+00,  0.43403490E+01
  0.35500000E+00,  0.57068085E+00,  0.43166857E+01
  0.36000000E+00,  0.57181340E+00,  0.42930202E+01
  0.36500000E+00,  0.57294777E+00,  0.42693484E+01
  0.37000000E+00,  0.57408970E+00,  0.42456735E+01
  0.37500000E+00,  0.57523354E+00,  0.42219920E+01
  0.38000000E+00,  0.57638505E+00,  0.41983067E+01
  0.38500000E+00,  0.57753856E+00,  0.41746143E+01
  0.39000000E+00,  0.57869985E+00,  0.41509172E+01
  0.39500000E+00,  0.57986323E+00,  0.41272127E+01
