x,rho,T
  0.00000000E+00,  0.50000000E+00,  0.20000000E+01
  0.12500000E-02,  0.50017348E+00,  0.19988794E+01
  0.25000000E-02,  0.50034719E+00,  0.19977585E+01
  0.37500000E-02,  0.50052091E+00,  0.19966376E+01
  0.50000000E-02,  0.50069485E+00,  0.19955163E+01
  0.62500000E-02,  0.50086881E+00,  0.19943951E+01
  0.75000000E-02,  0.50104299E+00,  0.19932735E+01
  0.87500000E-02,  0.50121718E+00,  0.19921520E+01
  0.10000000E-01,  0.50139160E+00,  0.19910301E+01
  0.11250000E-01,  0.50156603E+00,  0.19899081E+01
  0.12500000E-01,  0.50174069E+00,  0.19887859E+01
  0.13750000E-01,  0.50191535E+00,  0.19876637E+01
  0.15000000E-01,  0.50209025E+00,  0.19865411E+01
  0.16250000E-01,  0.50226516E+00,  0.19854185E+01
  0.17500000E-01,  0.50244030E+00,  0.19842956E+01
  0.18750000E-01,  0.50261544E+00,  0.19831727E+01
  0.20000000E-01,  0.50279082E+00,  0.19820494E+01
  0.21250000E-01,  0.50296620E+00,  0.19809262E+01
  0.22500000E-01,  0.50314182E+00,  0.19798026E+01
  0.23750000E-01,  0.50331745E+00,  0.19786790E+01
  0.25000000E-01,  0.50349331E+00,  0.19775551E+01
  0.26250000E-01,  0.50366917E+00,  0.19764311E+01
  0.27500000E-01,  0.50384528E+00,  0.19753069E+01
  0.28750000E-01,  0.50402138E+00,  0.19741826E+01
  0.30000000E-01,  0.50419773E+00,  0.19730580E+01
  0.31250000E-01,  0.50437408E+00,  0.19719333E+01
  0.32500000E-01,  0.50455067E+00,  0.19708084E+01
  0.33750000E-01,  0.50472726E+00,  0.19696834E+01
  0.35000000E-01,  0.50490410E+00,  0.19685581E+01
  0.36250000E-01,  0.50508093E+00,  0.19674328E+01
  0.37500000E-01,  0.50525801E+00,  0.19663071E+01
  0.38750000E-01,  0.50543509E+00,  0.19651815E+01
  0.40000000E-01,  0.50561241E+00,  0.19640555E+01
  0.41250000E-01,  0.50578974E+00,  0.19629295E+01
  0.42500000E-01,  0.50596731E+00,  0.19618031E+01
  0.43750000E-01,  0.50614488E+00,  0.19606767E+01
  0.45000000E-01,  0.50632270E+00,  0.19595500E+01
  0.46250000E-01,  0.50650052E+00,  0.19584233E+01
  0.47500000E-01,  0.50667858E+00,  0.19572963E+01
  0.48750000E-01,  0.50685665E+00,  0.19561692E+01
  0.50000000E-01,  0.50703496E+00,  0.19550418E+01
  0.51250000E-01,  0.50721327E+00,  0.19539144E+01
  0.52500000E-01,  0.50739183E+00,  0.19527866E+01
  0.53750000E-01,  0.50757040E+00,  0.19516588E+01
  0.55000000E-01,  0.50774920E+00,  0.19505307E+01
  0.56250000E-01,  0.50792802E+00,  0.19494026E+01
  0.57500000E-01,  0.50810707E+00,  0.19482741E+01
  0.58750000E-01,  0.50828614E+00,  0.19471456E+01
  0.60000000E-01,  0.50846544E+00,  0.19460167E+01
  0.61250000E-01,  0.50864476E+00,  0.19448879E+01
  0.62500000E-01,  0.50882432E+00,  0.19437587E+01
  0.63750000E-01,  0.50900388E+00,  0.19426295E+01
  0.65000000E-01,  0.50918369E+00,  0.19414999E+01
  0.66250000E-01,  0.50936351E+00,  0.19403703E+01
  0.67500000E-01,  0.50954357E+00,  0.19392404E+01
  0.68750000E-01,  0.50972364E+00,  0.19381104E+01
  0.70000000E-01,  0.50990396E+00,  0.19369801E+01
  0.71250000E-01,  0.51008428E+00,  0.19358498E+01
  0.72500000E-01,  0.51026485E+00,  0.19347192E+01
  0.73750000E-01,  0.51044543E+00,  0.19335885E+01
  0.75000000E-01,  0.51062625E+00,  0.19324574E+01
  0.76250000E-01,  0.51080708E+00,  0.19313264E+01
  0.77500000E-01,  0.51098816E+00,  0.19301950E+01
  0.78750000E-01,  0.51116925E+00,  0.19290636E+01
  0.80000000E-01,  0.51135059E+00,  0.19279318E+01
  0.81250000E-01,  0.51153193E+00,  0.19268000E+01
  0.82500000E-01,  0.51171352E+00,  0.19256679E+01
  0.83750000E-01,  0.51189512E+00,  0.19245357E+01
  0.85000000E-01,  0.51207697E+00,  0.19234032E+01
  0.86250000E-01,  0.51225883E+00,  0.19222706E+01
  0.87500000E-01,  0.51244094E+00,  0.19211377E+01
  0.88750000E-01,  0.51262305E+00,  0.19200048E+01
  0.90000000E-01,  0.51280542E+00,  0.19188715E+01
  0.91250000E-01,  0.51298779E+00,  0.19177382E+01
  0.92500000E-01,  0.51317042E+00,  0.19166046E+01
  0.93750000E-01,  0.51335306E+00,  0.19154709E+01
  0.95000000E-01,  0.51353594E+00,  0.19143369E+01
  0.96250000E-01,  0.51371884E+00,  0.19132028E+01
  0.97500000E-01,  0.51390198E+00,  0.19120684E+01
  0.98750000E-01,  0.51408514E+00,  0.19109339E+01
  0.10000000E+00,  0.51426855E+00,  0.19097991E+01
  0.10125000E+00,  0.51445197E+00,  0.19086643E+01
  0.10250000E+00,  0.51463564E+00,  0.19075291E+01
  0.10375000E+00,  0.51481932E+00,  0.19063939E+01
  0.10500000E+00,  0.51500325E+00,  0.19052583E+01
  0.10625000E+00,  0.51518719E+00,  0.19041227E+01
  0.10750000E+00,  0.51537139E+00,  0.19029868E+01
  0.10875000E+00,  0.51555560E+00,  0.19018508E+01
  0.11000000E+00,  0.51574006E+00,  0.19007144E+01
  0.11125000E+00,  0.51592454E+00,  0.18995781E+01
  0.11250000E+00,  0.51610926E+00,  0.18984413E+01
  0.11375000E+00,  0.51629400E+00,  0.18973046E+01
  0.11500000E+00,  0.51647899E+00,  0.18961674E+01
  0.11625000E+00,  0.51666400E+00,  0.18950303E+01
  0.11750000E+00,  0.51684926E+00,  0.18938927E+01
  0.11875000E+00,  0.51703453E+00,  0.18927552E+01
  0.12000000E+00,  0.51722006E+00,  0.18916172E+01
  0.12125000E+00,  0.51740560E+00,  0.18904793E+01
  0.12250000E+00,  0.51759139E+00,  0.18893409E+01
  0.12375000E+00,  0.51777720E+00,  0.18882026E+01
  0.12500000E+00,  0.51796326E+00,  0.18870639E+01
  0.12625000E+00,  0.51814934E+00,  0.18859251E+01
  0.12750000E+00,  0.51833567E+00,  0.18847860E+01
  0.12875000E+00,  0.51852202E+00,  0.18836468E+01
  0.13000000E+00,  0.51870863E+00,  0.18825073E+01
  0.13125000E+00,  0.51889525E+00,  0.18813677E+01
  0.13250000E+00,  0.51908212E+00,  0.18802278E+01
  0.13375000E+00,  0.51926901E+00,  0.18790879E+01
  0.13500000E+00,  0.51945616E+00,  0.18779475E+01
  0.13625000E+00,  0.51964332E+00,  0.18768071E+01
  0.13750000E+00,  0.51983074E+00,  0.18756664E+01
  0.13875000E+00,  0.52001818E+00,  0.18745256E+01
  0.14000000E+00,  0.52020587E+00,  0.18733845E+01
  0.14125000E+00,  0.52039358E+00,  0.18722433E+01
  0.14250000E+00,  0.52058155E+00,  0.18711017E+01
  0.14375000E+00,  0.52076953E+00,  0.18699601E+01
  0.14500000E+00,  0.52095777E+00,  0.18688181E+01
  0.14625000E+00,  0.52114603E+00,  0.18676761E+01
  0.14750000E+00,  0.52133455E+00,  0.18665337E+01
  0.14875000E+00,  0.52152309E+00,  0.18653913E+01
  0.15000000E+00,  0.52171188E+00,  0.18642485E+01
  0.15125000E+00,  0.52190070E+00,  0.18631056E+01
  0.15250000E+00,  0.52208977E+00,  0.18619624E+01
  0.15375000E+00,  0.52227886E+00,  0.18608192E+01
