x,rho,T
# Solver Output (Python BVP)
# Parameters: J=-5.180425e-10, Q=-2.431465e+01
   0.00000,  6.00000000E-01,  6.00000000E+00
   0.00100,  6.00135135E-01,  5.99662239E+00
   0.00200,  6.00270376E-01,  5.99324365E+00
   0.00300,  6.00405724E-01,  5.98986376E+00
   0.00400,  6.00541179E-01,  5.98648272E+00
   0.00500,  6.00676741E-01,  5.98310053E+00
   0.00600,  6.00812410E-01,  5.97971720E+00
   0.00700,  6.00948187E-01,  5.97633272E+00
   0.00800,  6.01084072E-01,  5.97294708E+00
   0.00900,  6.01220064E-01,  5.96956029E+00
   0.01000,  6.01356164E-01,  5.96617235E+00
   0.01100,  6.01492373E-01,  5.96278325E+00
   0.01200,  6.01628690E-01,  5.95939298E+00
   0.01300,  6.01765115E-01,  5.95600156E+00
   0.01400,  6.01901649E-01,  5.95260898E+00
   0.01500,  6.02038292E-01,  5.94921523E+00
   0.01600,  6.02175044E-01,  5.94582031E+00
   0.01700,  6.02311905E-01,  5.94242423E+00
   0.01800,  6.02448875E-01,  5.93902698E+00
   0.01900,  6.02585955E-01,  5.93562855E+00
   0.02000,  6.02723145E-01,  5.93222896E+00
   0.02100,  6.02860445E-01,  5.92882819E+00
   0.02200,  6.02997854E-01,  5.92542624E+00
   0.02300,  6.03135374E-01,  5.92202312E+00
   0.02400,  6.03273005E-01,  5.91861881E+00
   0.02500,  6.03410746E-01,  5.91521332E+00
   0.02600,  6.03548598E-01,  5.91180665E+00
   0.02700,  6.03686561E-01,  5.90839880E+00
   0.02800,  6.03824635E-01,  5.90498976E+00
   0.02900,  6.03962821E-01,  5.90157952E+00
   0.03000,  6.04101118E-01,  5.89816810E+00
   0.03100,  6.04239526E-01,  5.89475549E+00
   0.03200,  6.04378047E-01,  5.89134168E+00
   0.03300,  6.04516680E-01,  5.88792668E+00
   0.03400,  6.04655425E-01,  5.88451047E+00
   0.03500,  6.04794282E-01,  5.88109307E+00
   0.03600,  6.04933252E-01,  5.87767447E+00
   0.03700,  6.05072335E-01,  5.87425466E+00
   0.03800,  6.05211531E-01,  5.87083365E+00
   0.03900,  6.05350840E-01,  5.86741143E+00
   0.04000,  6.05490263E-01,  5.86398800E+00
   0.04100,  6.05629799E-01,  5.86056337E+00
   0.04200,  6.05769449E-01,  5.85713752E+00
   0.04300,  6.05909212E-01,  5.85371045E+00
   0.04400,  6.06049090E-01,  5.85028217E+00
   0.04500,  6.06189083E-01,  5.84685267E+00
   0.04600,  6.06329189E-01,  5.84342195E+00
   0.04700,  6.06469411E-01,  5.83999001E+00
   0.04800,  6.06609747E-01,  5.83655685E+00
   0.04900,  6.06750199E-01,  5.83312246E+00
   0.05000,  6.06890765E-01,  5.82968685E+00
   0.05100,  6.07031448E-01,  5.82625000E+00
   0.05200,  6.07172245E-01,  5.82281192E+00
   0.05300,  6.07313159E-01,  5.81937261E+00
   0.05400,  6.07454189E-01,  5.81593207E+00
   0.05500,  6.07595335E-01,  5.81249029E+00
   0.05600,  6.07736598E-01,  5.80904727E+00
   0.05700,  6.07877977E-01,  5.80560301E+00
   0.05800,  6.08019473E-01,  5.80215750E+00
   0.05900,  6.08161086E-01,  5.79871075E+00
   0.06000,  6.08302816E-01,  5.79526276E+00
   0.06100,  6.08444664E-01,  5.79181352E+00
   0.06200,  6.08586629E-01,  5.78836302E+00
   0.06300,  6.08728712E-01,  5.78491128E+00
   0.06400,  6.08870913E-01,  5.78145828E+00
   0.06500,  6.09013232E-01,  5.77800402E+00
   0.06600,  6.09155670E-01,  5.77454851E+00
   0.06700,  6.09298227E-01,  5.77109174E+00
   0.06800,  6.09440902E-01,  5.76763370E+00
   0.06900,  6.09583696E-01,  5.76417440E+00
   0.07000,  6.09726609E-01,  5.76071384E+00
   0.07100,  6.09869642E-01,  5.75725200E+00
   0.07200,  6.10012795E-01,  5.75378890E+00
   0.07300,  6.10156067E-01,  5.75032452E+00
   0.07400,  6.10299460E-01,  5.74685887E+00
   0.07500,  6.10442972E-01,  5.74339195E+00
   0.07600,  6.10586605E-01,  5.73992374E+00
   0.07700,  6.10730359E-01,  5.73645426E+00
   0.07800,  6.10874234E-01,  5.73298350E+00
   0.07900,  6.11018229E-01,  5.72951145E+00
   0.08000,  6.11162346E-01,  5.72603811E+00
   0.08100,  6.11306585E-01,  5.72256349E+00
   0.08200,  6.11450945E-01,  5.71908757E+00
   0.08300,  6.11595427E-01,  5.71561037E+00
   0.08400,  6.11740031E-01,  5.71213187E+00
   0.08500,  6.11884757E-01,  5.70865207E+00
   0.08600,  6.12029606E-01,  5.70517097E+00
   0.08700,  6.12174578E-01,  5.70168858E+00
   0.08800,  6.12319673E-01,  5.69820488E+00
   0.08900,  6.12464890E-01,  5.69471988E+00
   0.09000,  6.12610232E-01,  5.69123357E+00
   0.09100,  6.12755697E-01,  5.68774595E+00
   0.09200,  6.12901285E-01,  5.68425702E+00
   0.09300,  6.13046998E-01,  5.68076678E+00
   0.09400,  6.13192835E-01,  5.67727522E+00
   0.09500,  6.13338796E-01,  5.67378234E+00
   0.09600,  6.13484882E-01,  5.67028815E+00
   0.09700,  6.13631093E-01,  5.66679264E+00
   0.09800,  6.13777429E-01,  5.66329580E+00
   0.09900,  6.13923891E-01,  5.65979763E+00
   0.10000,  6.14070478E-01,  5.65629814E+00
   0.10100,  6.14217190E-01,  5.65279732E+00
   0.10200,  6.14364029E-01,  5.64929516E+00
   0.10300,  6.14510994E-01,  5.64579167E+00
   0.10400,  6.14658085E-01,  5.64228685E+00
   0.10500,  6.14805303E-01,  5.63878068E+00
   0.10600,  6.14952648E-01,  5.63527318E+00
   0.10700,  6.15100120E-01,  5.63176433E+00
   0.10800,  6.15247720E-01,  5.62825414E+00
   0.10900,  6.15395447E-01,  5.62474259E+00
   0.11000,  6.15543301E-01,  5.62122970E+00
   0.11100,  6.15691284E-01,  5.61771546E+00
   0.11200,  6.15839395E-01,  5.61419987E+00
   0.11300,  6.15987634E-01,  5.61068291E+00
   0.11400,  6.16136002E-01,  5.60716460E+00
   0.11500,  6.16284499E-01,  5.60364493E+00
   0.11600,  6.16433125E-01,  5.60012389E+00
   0.11700,  6.16581881E-01,  5.59660149E+00
   0.11800,  6.16730766E-01,  5.59307773E+00
   0.11900,  6.16879781E-01,  5.58955259E+00
   0.12000,  6.17028926E-01,  5.58602608E+00
   0.12100,  6.17178201E-01,  5.58249820E+00
   0.12200,  6.17327607E-01,  5.57896894E+00
   0.12300,  6.17477143E-01,  5.57543830E+00
   0.12400,  6.17626811E-01,  5.57190628E+00
   0.12500,  6.17776609E-01,  5.56837287E+00
   0.12600,  6.17926540E-01,  5.56483809E+00
   0.12700,  6.18076602E-01,  5.56130191E+00
   0.12800,  6.18226796E-01,  5.55776434E+00
   0.12900,  6.18377122E-01,  5.55422538E+00
   0.13000,  6.18527580E-01,  5.55068503E+00
   0.13100,  6.18678171E-01,  5.54714328E+00
   0.13200,  6.18828895E-01,  5.54360012E+00
   0.13300,  6.18979753E-01,  5.54005557E+00
   0.13400,  6.19130743E-01,  5.53650961E+00
   0.13500,  6.19281867E-01,  5.53296225E+00
   0.13600,  6.19433125E-01,  5.52941348E+00
   0.13700,  6.19584518E-01,  5.52586329E+00
   0.13800,  6.19736044E-01,  5.52231169E+00
   0.13900,  6.19887705E-01,  5.51875868E+00
   0.14000,  6.20039501E-01,  5.51520424E+00
   0.14100,  6.20191432E-01,  5.51164839E+00
   0.14200,  6.20343499E-01,  5.50809111E+00
   0.14300,  6.20495701E-01,  5.50453241E+00
