x,rho,T
  0.00000000E+00,  0.50000000E+00,  0.20000000E+01
  0.25000000E-02,  0.49921154E+00,  0.19992539E+01
  0.50000000E-02,  0.49842313E+00,  0.19985026E+01
  0.75000000E-02,  0.49763472E+00,  0.19977513E+01
  0.10000000E-01,  0.49684636E+00,  0.19969949E+01
  0.12500000E-01,  0.49605799E+00,  0.19962383E+01
  0.15000000E-01,  0.49526968E+00,  0.19954766E+01
  0.17500000E-01,  0.49448136E+00,  0.19947147E+01
  0.20000000E-01,  0.49369309E+00,  0.19939477E+01
  0.22500000E-01,  0.49290482E+00,  0.19931805E+01
  0.25000000E-01,  0.49211660E+00,  0.19924080E+01
  0.27500000E-01,  0.49132837E+00,  0.19916354E+01
  0.30000000E-01,  0.49054020E+00,  0.19908575E+01
  0.32500000E-01,  0.48975203E+00,  0.19900794E+01
  0.35000000E-01,  0.48896390E+00,  0.19892961E+01
  0.37500000E-01,  0.48817578E+00,  0.19885125E+01
  0.40000000E-01,  0.48738771E+00,  0.19877236E+01
  0.42500000E-01,  0.48659964E+00,  0.19869343E+01
  0.45000000E-01,  0.48581161E+00,  0.19861398E+01
  0.47500000E-01,  0.48502359E+00,  0.19853449E+01
  0.50000000E-01,  0.48423562E+00,  0.19845448E+01
  0.52500000E-01,  0.48344766E+00,  0.19837442E+01
  0.55000000E-01,  0.48265974E+00,  0.19829382E+01
  0.57500000E-01,  0.48187182E+00,  0.19821319E+01
  0.60000000E-01,  0.48108396E+00,  0.19813202E+01
  0.62500000E-01,  0.48029610E+00,  0.19805080E+01
  0.65000000E-01,  0.47950829E+00,  0.19796904E+01
  0.67500000E-01,  0.47872049E+00,  0.19788723E+01
  0.70000000E-01,  0.47793273E+00,  0.19780488E+01
  0.72500000E-01,  0.47714498E+00,  0.19772247E+01
  0.75000000E-01,  0.47635729E+00,  0.19763952E+01
  0.77500000E-01,  0.47556959E+00,  0.19755651E+01
  0.80000000E-01,  0.47478196E+00,  0.19747295E+01
  0.82500000E-01,  0.47399432E+00,  0.19738933E+01
  0.85000000E-01,  0.47320674E+00,  0.19730516E+01
  0.87500000E-01,  0.47241916E+00,  0.19722092E+01
  0.90000000E-01,  0.47163164E+00,  0.19713614E+01
  0.92500000E-01,  0.47084413E+00,  0.19705127E+01
  0.95000000E-01,  0.47005667E+00,  0.19696586E+01
  0.97500000E-01,  0.46926921E+00,  0.19688037E+01
  0.10000000E+00,  0.46848181E+00,  0.19679432E+01
  0.10250000E+00,  0.46769442E+00,  0.19670819E+01
  0.10500000E+00,  0.46690708E+00,  0.19662150E+01
  0.10750000E+00,  0.46611975E+00,  0.19653472E+01
  0.11000000E+00,  0.46533248E+00,  0.19644739E+01
  0.11250000E+00,  0.46454521E+00,  0.19635996E+01
  0.11500000E+00,  0.46375800E+00,  0.19627196E+01
  0.11750000E+00,  0.46297080E+00,  0.19618388E+01
  0.12000000E+00,  0.46218366E+00,  0.19609522E+01
  0.12250000E+00,  0.46139652E+00,  0.19600646E+01
  0.12500000E+00,  0.46060945E+00,  0.19591714E+01
  0.12750000E+00,  0.45982238E+00,  0.19582771E+01
  0.13000000E+00,  0.45903537E+00,  0.19573770E+01
  0.13250000E+00,  0.45824837E+00,  0.19564759E+01
  0.13500000E+00,  0.45746143E+00,  0.19555690E+01
  0.13750000E+00,  0.45667450E+00,  0.19546609E+01
  0.14000000E+00,  0.45588763E+00,  0.19537471E+01
  0.14250000E+00,  0.45510077E+00,  0.19528320E+01
  0.14500000E+00,  0.45431398E+00,  0.19519112E+01
  0.14750000E+00,  0.45352719E+00,  0.19509890E+01
  0.15000000E+00,  0.45274046E+00,  0.19500611E+01
  0.15250000E+00,  0.45195375E+00,  0.19491318E+01
  0.15500000E+00,  0.45116710E+00,  0.19481966E+01
  0.15750000E+00,  0.45038046E+00,  0.19472601E+01
  0.16000000E+00,  0.44959389E+00,  0.19463177E+01
  0.16250000E+00,  0.44880732E+00,  0.19453738E+01
  0.16500000E+00,  0.44802083E+00,  0.19444240E+01
  0.16750000E+00,  0.44723434E+00,  0.19434728E+01
  0.17000000E+00,  0.44644792E+00,  0.19425155E+01
  0.17250000E+00,  0.44566151E+00,  0.19415568E+01
  0.17500000E+00,  0.44487517E+00,  0.19405920E+01
  0.17750000E+00,  0.44408884E+00,  0.19396256E+01
  0.18000000E+00,  0.44330258E+00,  0.19386532E+01
  0.18250000E+00,  0.44251634E+00,  0.19376792E+01
  0.18500000E+00,  0.44173016E+00,  0.19366991E+01
  0.18750000E+00,  0.44094400E+00,  0.19357172E+01
  0.19000000E+00,  0.44015790E+00,  0.19347293E+01
  0.19250000E+00,  0.43937182E+00,  0.19337396E+01
