x,rho,T
  0.00000000E+00,  0.50000000E+00,  0.20000000E+01
  0.25000000E-02,  0.49993313E+00,  0.19980661E+01
  0.50000000E-02,  0.49986656E+00,  0.19961283E+01
  0.75000000E-02,  0.49980000E+00,  0.19941905E+01
  0.10000000E-01,  0.49973373E+00,  0.19922486E+01
  0.12500000E-01,  0.49966747E+00,  0.19903067E+01
  0.15000000E-01,  0.49960151E+00,  0.19883609E+01
  0.17500000E-01,  0.49953556E+00,  0.19864150E+01
  0.20000000E-01,  0.49946991E+00,  0.19844651E+01
  0.22500000E-01,  0.49940427E+00,  0.19825151E+01
  0.25000000E-01,  0.49933894E+00,  0.19805612E+01
  0.27500000E-01,  0.49927361E+00,  0.19786072E+01
  0.30000000E-01,  0.49920859E+00,  0.19766492E+01
  0.32500000E-01,  0.49914357E+00,  0.19746911E+01
  0.35000000E-01,  0.49907887E+00,  0.19727290E+01
  0.37500000E-01,  0.49901417E+00,  0.19707668E+01
  0.40000000E-01,  0.49894979E+00,  0.19688006E+01
  0.42500000E-01,  0.49888542E+00,  0.19668343E+01
  0.45000000E-01,  0.49882135E+00,  0.19648639E+01
  0.47500000E-01,  0.49875730E+00,  0.19628935E+01
  0.50000000E-01,  0.49869356E+00,  0.19609190E+01
  0.52500000E-01,  0.49862984E+00,  0.19589445E+01
  0.55000000E-01,  0.49856643E+00,  0.19569658E+01
  0.57500000E-01,  0.49850304E+00,  0.19549871E+01
  0.60000000E-01,  0.49843996E+00,  0.19530043E+01
  0.62500000E-01,  0.49837689E+00,  0.19510214E+01
  0.65000000E-01,  0.49831415E+00,  0.19490344E+01
  0.67500000E-01,  0.49825142E+00,  0.19470473E+01
  0.70000000E-01,  0.49818901E+00,  0.19450561E+01
  0.72500000E-01,  0.49812662E+00,  0.19430648E+01
  0.75000000E-01,  0.49806454E+00,  0.19410694E+01
  0.77500000E-01,  0.49800249E+00,  0.19390738E+01
  0.80000000E-01,  0.49794076E+00,  0.19370742E+01
  0.82500000E-01,  0.49787905E+00,  0.19350744E+01
  0.85000000E-01,  0.49781767E+00,  0.19330705E+01
  0.87500000E-01,  0.49775631E+00,  0.19310664E+01
  0.90000000E-01,  0.49769527E+00,  0.19290582E+01
  0.92500000E-01,  0.49763425E+00,  0.19270498E+01
  0.95000000E-01,  0.49757356E+00,  0.19250374E+01
  0.97500000E-01,  0.49751290E+00,  0.19230247E+01
  0.10000000E+00,  0.49745257E+00,  0.19210079E+01
  0.10250000E+00,  0.49739226E+00,  0.19189909E+01
  0.10500000E+00,  0.49733228E+00,  0.19169698E+01
  0.10750000E+00,  0.49727233E+00,  0.19149485E+01
  0.11000000E+00,  0.49721271E+00,  0.19129230E+01
  0.11250000E+00,  0.49715313E+00,  0.19108973E+01
  0.11500000E+00,  0.49709387E+00,  0.19088675E+01
  0.11750000E+00,  0.49703465E+00,  0.19068374E+01
  0.12000000E+00,  0.49697575E+00,  0.19048032E+01
  0.12250000E+00,  0.49691690E+00,  0.19027687E+01
