x,rho,T
  0.00000000E+00,  0.40000000E+00,  0.60000000E+01
  0.10000000E-01,  0.40148674E+00,  0.59628594E+01
  0.20000000E-01,  0.40300316E+00,  0.59255331E+01
  0.30000000E-01,  0.40452013E+00,  0.58882055E+01
  0.40000000E-01,  0.40606731E+00,  0.58506879E+01
  0.50000000E-01,  0.40761562E+00,  0.58131676E+01
  0.60000000E-01,  0.40919470E+00,  0.57754527E+01
  0.70000000E-01,  0.41077553E+00,  0.57377336E+01
  0.80000000E-01,  0.41238770E+00,  0.56998153E+01
  0.90000000E-01,  0.41400228E+00,  0.56618908E+01
  0.10000000E+00,  0.41564882E+00,  0.56237625E+01
  0.11000000E+00,  0.41729847E+00,  0.55856259E+01
  0.12000000E+00,  0.41898072E+00,  0.55472806E+01
  0.13000000E+00,  0.42066682E+00,  0.55089248E+01
  0.14000000E+00,  0.42238621E+00,  0.54703553E+01
  0.15000000E+00,  0.42411022E+00,  0.54317727E+01
  0.16000000E+00,  0.42586826E+00,  0.53929712E+01
  0.17000000E+00,  0.42763176E+00,  0.53541538E+01
  0.18000000E+00,  0.42943005E+00,  0.53151122E+01
  0.19000000E+00,  0.43123469E+00,  0.52760516E+01
  0.20000000E+00,  0.43307493E+00,  0.52367613E+01
  0.21000000E+00,  0.43492248E+00,  0.51974485E+01
  0.22000000E+00,  0.43680650E+00,  0.51579003E+01
  0.23000000E+00,  0.43869884E+00,  0.51183258E+01
  0.24000000E+00,  0.44062857E+00,  0.50785100E+01
  0.25000000E+00,  0.44256771E+00,  0.50386637E+01
  0.26000000E+00,  0.44454523E+00,  0.49985700E+01
  0.27000000E+00,  0.44653330E+00,  0.49584412E+01
  0.28000000E+00,  0.44856082E+00,  0.49180586E+01
  0.29000000E+00,  0.45060013E+00,  0.48776359E+01
  0.30000000E+00,  0.45268002E+00,  0.48369525E+01
  0.31000000E+00,  0.45477303E+00,  0.47962237E+01
  0.32000000E+00,  0.45690784E+00,  0.47552271E+01
  0.33000000E+00,  0.45905719E+00,  0.47141791E+01
  0.34000000E+00,  0.46124966E+00,  0.46728558E+01
  0.35000000E+00,  0.46345821E+00,  0.46314746E+01
  0.36000000E+00,  0.46571127E+00,  0.45898103E+01
  0.37000000E+00,  0.46798208E+00,  0.45480809E+01
  0.38000000E+00,  0.47029893E+00,  0.45060601E+01
  0.39000000E+00,  0.47263533E+00,  0.44639664E+01
  0.40000000E+00,  0.47501941E+00,  0.44215725E+01
  0.41000000E+00,  0.47742497E+00,  0.43790971E+01
  0.42000000E+00,  0.47988001E+00,  0.43363119E+01
  0.43000000E+00,  0.48235864E+00,  0.42934361E+01
  0.44000000E+00,  0.48488870E+00,  0.42502404E+01
  0.45000000E+00,  0.48744465E+00,  0.42069437E+01
  0.46000000E+00,  0.49005413E+00,  0.41633163E+01
  0.47000000E+00,  0.49269202E+00,  0.41195767E+01
  0.48000000E+00,  0.49538576E+00,  0.40754947E+01
  0.49000000E+00,  0.49811065E+00,  0.40312883E+01
  0.50000000E+00,  0.50089395E+00,  0.39867267E+01
  0.51000000E+00,  0.50371139E+00,  0.39420271E+01
  0.52000000E+00,  0.50659004E+00,  0.38969586E+01
  0.53000000E+00,  0.50950615E+00,  0.38517371E+01
  0.54000000E+00,  0.51248657E+00,  0.38061317E+01
  0.55000000E+00,  0.51550810E+00,  0.37603568E+01
  0.56000000E+00,  0.51859738E+00,  0.37141814E+01
  0.57000000E+00,  0.52173181E+00,  0.36678182E+01
  0.58000000E+00,  0.52493784E+00,  0.36210364E+01
