x,rho,T
  0.00000000E+00,  0.20000000E+00,  0.50000000E+01
  0.25000000E-02,  0.20105195E+00,  0.49778651E+01
  0.50000000E-02,  0.20210839E+00,  0.49560136E+01
  0.75000000E-02,  0.20316478E+00,  0.49341593E+01
  0.10000000E-01,  0.20422569E+00,  0.49125856E+01
  0.12500000E-01,  0.20528653E+00,  0.48910064E+01
  0.15000000E-01,  0.20635191E+00,  0.48697051E+01
  0.17500000E-01,  0.20741718E+00,  0.48483956E+01
  0.20000000E-01,  0.20848703E+00,  0.48273614E+01
  0.22500000E-01,  0.20955673E+00,  0.48063165E+01
  0.25000000E-01,  0.21063105E+00,  0.47855441E+01
  0.27500000E-01,  0.21170518E+00,  0.47647586E+01
  0.30000000E-01,  0.21278396E+00,  0.47442431E+01
  0.32500000E-01,  0.21386252E+00,  0.47237121E+01
  0.35000000E-01,  0.21494577E+00,  0.47034486E+01
  0.37500000E-01,  0.21602875E+00,  0.46831671E+01
  0.40000000E-01,  0.21711645E+00,  0.46631508E+01
  0.42500000E-01,  0.21820385E+00,  0.46431143E+01
  0.45000000E-01,  0.21929601E+00,  0.46233405E+01
  0.47500000E-01,  0.22038783E+00,  0.46035443E+01
  0.50000000E-01,  0.22148445E+00,  0.45840085E+01
  0.52500000E-01,  0.22258068E+00,  0.45644481E+01
  0.55000000E-01,  0.22368175E+00,  0.45451459E+01
  0.57500000E-01,  0.22478240E+00,  0.45258169E+01
  0.60000000E-01,  0.22588792E+00,  0.45067439E+01
  0.62500000E-01,  0.22699297E+00,  0.44876421E+01
  0.65000000E-01,  0.22810295E+00,  0.44687941E+01
  0.67500000E-01,  0.22921241E+00,  0.44499153E+01
  0.70000000E-01,  0.23032683E+00,  0.44312882E+01
  0.72500000E-01,  0.23144070E+00,  0.44126283E+01
  0.75000000E-01,  0.23255957E+00,  0.43942181E+01
  0.77500000E-01,  0.23367784E+00,  0.43757732E+01
  0.80000000E-01,  0.23480115E+00,  0.43575760E+01
  0.82500000E-01,  0.23592382E+00,  0.43393422E+01
  0.85000000E-01,  0.23705158E+00,  0.43213541E+01
  0.87500000E-01,  0.23817865E+00,  0.43033276E+01
  0.90000000E-01,  0.23931085E+00,  0.42855449E+01
  0.92500000E-01,  0.24044232E+00,  0.42677220E+01
  0.95000000E-01,  0.24157896E+00,  0.42501412E+01
  0.97500000E-01,  0.24271482E+00,  0.42325182E+01
  0.10000000E+00,  0.24385590E+00,  0.42151356E+01
  0.10250000E+00,  0.24499616E+00,  0.41977092E+01
  0.10500000E+00,  0.24614168E+00,  0.41805212E+01
  0.10750000E+00,  0.24728633E+00,  0.41632878E+01
  0.11000000E+00,  0.24843629E+00,  0.41462912E+01
  0.11250000E+00,  0.24958533E+00,  0.41292475E+01
  0.11500000E+00,  0.25073972E+00,  0.41124389E+01
  0.11750000E+00,  0.25189315E+00,  0.40955816E+01
  0.12000000E+00,  0.25305198E+00,  0.40789578E+01
  0.12250000E+00,  0.25420980E+00,  0.40622837E+01
  0.12500000E+00,  0.25537307E+00,  0.40458414E+01
  0.12750000E+00,  0.25653527E+00,  0.40293474E+01
  0.13000000E+00,  0.25770297E+00,  0.40130836E+01
  0.13250000E+00,  0.25886956E+00,  0.39967666E+01
  0.13500000E+00,  0.26004170E+00,  0.39806783E+01
  0.13750000E+00,  0.26121267E+00,  0.39645353E+01
  0.14000000E+00,  0.26238924E+00,  0.39486194E+01
  0.14250000E+00,  0.26356460E+00,  0.39326475E+01
  0.14500000E+00,  0.26474560E+00,  0.39169012E+01
  0.14750000E+00,  0.26592534E+00,  0.39010975E+01
  0.15000000E+00,  0.26711078E+00,  0.38855179E+01
  0.15250000E+00,  0.26829490E+00,  0.38698796E+01
  0.15500000E+00,  0.26948477E+00,  0.38544641E+01
  0.15750000E+00,  0.27067327E+00,  0.38389885E+01
