x,rho,T
  0.00000000E+00,  0.20000000E+00,  0.50000000E+01
  0.25000000E-02,  0.20150000E+00,  0.49599910E+01
  0.50000000E-02,  0.20300000E+00,  0.49211738E+01
  0.75000000E-02,  0.20450000E+00,  0.48823204E+01
  0.10000000E-01,  0.20600000E+00,  0.48446434E+01
  0.12500000E-01,  0.20750000E+00,  0.48068955E+01
  0.15000000E-01,  0.20900000E+00,  0.47703100E+01
  0.17500000E-01,  0.21050000E+00,  0.47336202E+01
  0.20000000E-01,  0.21200000E+00,  0.46980803E+01
  0.22500000E-01,  0.21350000E+00,  0.46624039E+01
  0.25000000E-01,  0.21500000E+00,  0.46278662E+01
  0.27500000E-01,  0.21650000E+00,  0.45931610E+01
  0.30000000E-01,  0.21800000E+00,  0.45595845E+01
  0.32500000E-01,  0.21950000E+00,  0.45258107E+01
  0.35000000E-01,  0.22100000E+00,  0.44931566E+01
  0.37500000E-01,  0.22250000E+00,  0.44602763E+01
  0.40000000E-01,  0.22400000E+00,  0.44285079E+01
  0.42500000E-01,  0.22550000E+00,  0.43964855E+01
  0.45000000E-01,  0.22700000E+00,  0.43655680E+01
  0.47500000E-01,  0.22850000E+00,  0.43343695E+01
  0.50000000E-01,  0.23000000E+00,  0.43042699E+01
  0.52500000E-01,  0.23150000E+00,  0.42738632E+01
  0.55000000E-01,  0.23300000E+00,  0.42445503E+01
  0.57500000E-01,  0.23450000E+00,  0.42149049E+01
  0.60000000E-01,  0.23600000E+00,  0.41863490E+01
  0.62500000E-01,  0.23750000E+00,  0.41574359E+01
  0.65000000E-01,  0.23900000E+00,  0.41296088E+01
  0.67500000E-01,  0.24050000E+00,  0.41014004E+01
  0.70000000E-01,  0.24200000E+00,  0.40742754E+01
  0.72500000E-01,  0.24350000E+00,  0.40467456E+01
  0.75000000E-01,  0.24500000E+00,  0.40202970E+01
  0.77500000E-01,  0.24650000E+00,  0.39934210E+01
  0.80000000E-01,  0.24800000E+00,  0.39676246E+01
  0.82500000E-01,  0.24950000E+00,  0.39413785E+01
  0.85000000E-01,  0.25100000E+00,  0.39162113E+01
  0.87500000E-01,  0.25250000E+00,  0.38905726E+01
  0.90000000E-01,  0.25400000E+00,  0.38660125E+01
  0.92500000E-01,  0.25550000E+00,  0.38409596E+01
  0.95000000E-01,  0.25700000E+00,  0.38169856E+01
  0.97500000E-01,  0.25850000E+00,  0.37924981E+01
  0.10000000E+00,  0.26000000E+00,  0.37690901E+01
